#,Category,Word Type,Swedish,English,Other forms (tense / plural / etc.),Example,Example (English)
56,Time and days,Adverb,Imorgon,Tomorrow,—,Imorgon börjar jag ett nytt jobb.,Tomorrow I start a new job.
57,Time and days,Adverb,Igår,Yesterday,—,Igår träffade jag min syster.,Yesterday I met my sister.
58,Time and days,Adverb,Nu,Now,—,Nu måste jag gå.,Now I have to go.
59,Time and days,Adverb,Senare,Later,—,Vi ses senare ikväll.,We'll see each other later tonight.
60,Time and days,Noun (en),Måndag,Monday,Definite: måndagen • Plural: måndagar • Def. plural: måndagarna,På måndag har jag ett möte.,On Monday I have a meeting.
61,Time and days,Noun (en),Tisdag,Tuesday,Definite: tisdagen • Plural: tisdagar • Def. plural: tisdagarna,Vi tränar varje tisdag.,We work out every Tuesday.
62,Time and days,Noun (en),Onsdag,Wednesday,Definite: onsdagen • Plural: onsdagar • Def. plural: onsdagarna,Onsdag är veckans mitt.,Wednesday is the middle of the week.
63,Time and days,Noun (en),Torsdag,Thursday,Definite: torsdagen • Plural: torsdagar • Def. plural: torsdagarna,Kursen börjar på torsdag.,The course starts on Thursday.
64,Time and days,Noun (en),Fredag,Friday,Definite: fredagen • Plural: fredagar • Def. plural: fredagarna,På fredag kväll ser vi film.,On Friday evening we watch a film.
65,Time and days,Noun (en),Lördag,Saturday,Definite: lördagen • Plural: lördagar • Def. plural: lördagarna,Vi handlar mat på lördagar.,We buy groceries on Saturdays.
66,Time and days,Noun (en),Söndag,Sunday,Definite: söndagen • Plural: söndagar • Def. plural: söndagarna,Söndag är en lugn dag.,Sunday is a calm day.
67,Time and days,Noun (en),Vecka,Week,Definite: veckan • Plural: veckor • Def. plural: veckorna,Nästa vecka åker vi bort.,Next week we're going away.
68,Time and days,Noun (en),Månad,Month,Definite: månaden • Plural: månader • Def. plural: månaderna,Jag betalar hyran varje månad.,I pay the rent every month.
69,Numbers and counting,Numeral,Ett,One,—,Klockan är ett.,It's one o'clock.
70,Numbers and counting,Numeral,Två,Two,—,Jag har två systrar.,I have two sisters.
71,Numbers and counting,Numeral,Tre,Three,—,Mötet börjar om tre minuter.,The meeting starts in three minutes.
72,Numbers and counting,Numeral,Fyra,Four,—,Vi är fyra personer.,There are four of us.
73,Numbers and counting,Numeral,Fem,Five,—,Bussen går om fem minuter.,The bus leaves in five minutes.
74,Numbers and counting,Numeral,Sex,Six,—,Jag går upp klockan sex.,I get up at six o'clock.
75,Numbers and counting,Numeral,Sju,Seven,—,Filmen börjar klockan sju.,The film starts at seven.
76,Numbers and counting,Numeral,Åtta,Eight,—,Han jobbar åtta timmar om dagen.,He works eight hours a day.
77,Numbers and counting,Numeral,Nio,Nine,—,Butiken öppnar klockan nio.,The shop opens at nine.
78,Numbers and counting,Numeral,Tio,Ten,—,Det kostar tio kronor.,It costs ten kronor.
79,Numbers and counting,Numeral,Hundra,Hundred,—,Boken kostar hundra kronor.,The book costs a hundred kronor.
80,Numbers and counting,Numeral,Tusen,Thousand,—,Tusen tack för hjälpen!,Thanks a million for the help!
81,Numbers and counting,Adjective (ordinal),Första,First,Neuter/Plural: första (invariable),Det är min första dag på jobbet.,It's my first day at work.
82,Numbers and counting,Adjective (ordinal),Andra,Second,Neuter/Plural: andra (invariable),Andra gången gick det bättre.,The second time it went better.
83,Places and directions,Adverb,Här,Here,—,Här bor jag.,This is where I live.
84,Places and directions,Adverb,Där,There,—,Där ligger biblioteket.,The library is over there.
85,Places and directions,Adjective/Noun,Vänster,Left,Invariable,Sväng till vänster efter bron.,Turn left after the bridge.
86,Places and directions,Adjective/Noun,Höger,Right,Invariable,Affären ligger på höger sida.,The shop is on the right-hand side.
87,Places and directions,Adverb,Upp,Up,—,Vi går upp för trappan.,We're walking up the stairs.
88,Places and directions,Adverb,Ner,Down,—,Han gick ner till källaren.,He went down to the basement.
89,Places and directions,Preposition,Framför,In front of,—,Bilen står framför huset.,The car is parked in front of the house.
90,Places and directions,Preposition,Bakom,Behind,—,Trädgården ligger bakom huset.,The garden is behind the house.
91,Places and directions,Noun (ett),Hus,House,Definite: huset • Plural: hus • Def. plural: husen,De bor i ett gult hus.,They live in a yellow house.
92,Places and directions,Noun (en),Affär,Store,Definite: affären • Plural: affärer • Def. plural: affärerna,Affären stänger klockan åtta.,The shop closes at eight.
93,Places and directions,Noun (en),Restaurang,Restaurant,Definite: restaurangen • Plural: restauranger • Def. plural: restaurangerna,Vi åt på en italiensk restaurang.,We ate at an Italian restaurant.
94,Places and directions,Noun (ett),Hotell,Hotel,Definite: hotellet • Plural: hotell • Def. plural: hotellen,Hotellet ligger nära stationen.,The hotel is near the station.
95,Places and directions,Noun (en),Station,Station,Definite: stationen • Plural: stationer • Def. plural: stationerna,Vi möts vid stationen klockan fem.,We're meeting at the station at five.
96,Places and directions,Noun (ett),Sjukhus,Hospital,Definite: sjukhuset • Plural: sjukhus • Def. plural: sjukhusen,Hon jobbar på ett sjukhus.,She works at a hospital.
97,Places and directions,Noun (en),Toalett,Toilet,Definite: toaletten • Plural: toaletter • Def. plural: toaletterna,"Ursäkta, var ligger toaletten?","Excuse me, where is the toilet?"
98,Colors and adjectives,Adjective,Röd,Red,Neuter: rött • Plural: röda,Jag har en röd jacka.,I have a red jacket.
99,Colors and adjectives,Adjective,Blå,Blue,Neuter: blått • Plural: blåa,Himlen är blå idag.,The sky is blue today.
100,Colors and adjectives,Adjective,Gul,Yellow,Neuter: gult • Plural: gula,Huset är gult.,The house is yellow.
101,Colors and adjectives,Adjective,Grön,Green,Neuter: grönt • Plural: gröna,Gräset är grönt på våren.,The grass is green in spring.
102,Colors and adjectives,Adjective,Svart,Black,Neuter: svart • Plural: svarta,Han har en svart bil.,He has a black car.
103,Colors and adjectives,Adjective,Vit,White,Neuter: vitt • Plural: vita,Väggarna är vita.,The walls are white.
104,Colors and adjectives,Adjective,Stor,Big,Neuter: stort • Plural: stora,De bor i ett stort hus.,They live in a big house.
105,Colors and adjectives,Adjective,Liten,Small,Neuter: litet • Plural: små (irregular),Vi har en liten lägenhet.,We have a small apartment.
106,Colors and adjectives,Adjective,Varm,Hot/warm,Neuter: varmt • Plural: varma,Kaffet är för varmt.,The coffee is too hot.
107,Colors and adjectives,Adjective,Kall,Cold,Neuter: kallt • Plural: kalla,Det är kallt ute idag.,It's cold outside today.
108,Colors and adjectives,Adjective,Bra,Good,Invariable,Det var en bra idé.,That was a good idea.
109,Colors and adjectives,Adjective,Dålig,Bad,Neuter: dåligt • Plural: dåliga,Vädret är dåligt idag.,The weather is bad today.
110,Colors and adjectives,Adjective,Ny,New,Neuter: nytt • Plural: nya,Jag har köpt en ny telefon.,I have bought a new phone.
111,Question words & prepositions,Pronoun,Vad,What,—,Vad heter du?,What is your name?
112,Question words & prepositions,Adverb,Var,Where,—,Var bor du?,Where do you live?
113,Question words & prepositions,Adverb,När,When,—,När börjar filmen?,When does the film start?
114,Question words & prepositions,Adverb,Varför,Why,—,Varför är du sen?,Why are you late?
115,Question words & prepositions,Adverb,Hur,How,—,Hur kommer du till jobbet?,How do you get to work?
116,Question words & prepositions,Pronoun,Vem,Who,Same form as subject/object,Vem är det där?,Who is that?
117,Question words & prepositions,Pronoun,Vilken,Which,Neuter: vilket • Plural: vilka,Vilken buss går till centrum?,Which bus goes to the city centre?
118,Question words & prepositions,Phrase,Hur mycket,How much,—,Hur mycket kostar det?,How much does it cost?
119,Question words & prepositions,Phrase,Hur många,How many,—,Hur många barn har ni?,How many children do you have?
120,Question words & prepositions,Preposition,I,In,—,Jag bor i Stockholm.,I live in Stockholm.
121,Question words & prepositions,Preposition,På,On,—,Boken ligger på bordet.,The book is on the table.
122,Question words & prepositions,Preposition,Under,Under/during,—,Katten sover under sängen.,The cat is sleeping under the bed.
123,Question words & prepositions,Preposition,Med,With,—,Jag åker med bussen.,I go by bus.
124,Question words & prepositions,Preposition,Till,To,—,Vi åker till Göteborg imorgon.,We're going to Gothenburg tomorrow.
125,Question words & prepositions,Preposition,Från,From,—,Hon kommer från Brasilien.,She is from Brazil.
126,Question words & prepositions,Preposition/Conjunction,Om,About/if,—,Vi pratar om vädret.,We're talking about the weather.
127,"Weather, family & professions",Noun (ett),Väder,Weather,Definite: vädret (uncountable),Vilket härligt väder!,What lovely weather!
128,"Weather, family & professions",Noun (en),Sol,Sun,Definite: solen • Plural: solar • Def. plural: solarna,Solen skiner idag.,The sun is shining today.
129,"Weather, family & professions",Noun (ett),Regn,Rain,Definite: regnet (uncountable),Regnet slutade på eftermiddagen.,The rain stopped in the afternoon.
130,"Weather, family & professions",Noun (en),Snö,Snow,Definite: snön (uncountable),Det ligger snö på marken.,There is snow on the ground.
131,"Weather, family & professions",Noun (en),Vind,Wind,Definite: vinden • Plural: vindar • Def. plural: vindarna,Vinden är stark idag.,The wind is strong today.
132,"Weather, family & professions",Noun (ett),Moln,Cloud,Definite: molnet • Plural: moln • Def. plural: molnen,Det finns inte ett moln på himlen.,There isn't a cloud in the sky.
133,"Weather, family & professions",Phrase,Det regnar,It's raining,—,"Det regnar, ta med paraplyet.","It's raining, bring the umbrella."
134,"Weather, family & professions",Phrase,Det är soligt,It's sunny,—,Det är soligt och varmt idag.,It's sunny and warm today.
135,"Weather, family & professions",Noun (en),Mamma,Mom,Definite: mamman • Plural: mammor • Def. plural: mammorna,Min mamma ringer varje söndag.,My mum calls every Sunday.
136,"Weather, family & professions",Noun (en),Pappa,Dad,Definite: pappan • Plural: pappor • Def. plural: papporna,Pappa lagar middag ikväll.,Dad is cooking dinner tonight.
137,"Weather, family & professions",Noun (en),Syster,Sister,Definite: systern • Plural: systrar • Def. plural: systrarna,Min syster studerar i Lund.,My sister studies in Lund.
138,"Weather, family & professions",Noun (en),Bror,Brother,Definite: brodern • Plural: bröder • Def. plural: bröderna (irregular),Jag har en äldre bror.,I have an older brother.
139,"Weather, family & professions",Noun (en),Dotter,Daughter,Definite: dottern • Plural: döttrar • Def. plural: döttrarna (irregular),Deras dotter börjar skolan i höst.,Their daughter starts school this autumn.
140,"Weather, family & professions",Noun (en),Son,Son,Definite: sonen • Plural: söner • Def. plural: sönerna,Vår son spelar fotboll.,Our son plays football.
141,"Weather, family & professions",Noun (en),Lärare,Teacher,Definite: läraren • Plural: lärare • Def. plural: lärarna,Min lärare heter Karin.,My teacher is called Karin.
142,"Weather, family & professions",Noun (en),Läkare,Doctor,Definite: läkaren • Plural: läkare • Def. plural: läkarna,Jag ska träffa en läkare imorgon.,I'm seeing a doctor tomorrow.
143,"Weather, family & professions",Noun (en),Student,Student,Definite: studenten • Plural: studenter • Def. plural: studenterna,Han är student på universitetet.,He is a student at the university.
144,"Weather, family & professions",Noun (en),Kock,Chef/cook,Definite: kocken • Plural: kockar • Def. plural: kockarna,Kocken gjorde en fantastisk soppa.,The chef made a fantastic soup.
145,"Weather, family & professions",Noun (en),Polis,Police officer,Definite: polisen • Plural: poliser • Def. plural: poliserna,Polisen stod vid korsningen.,The police officer was standing at the intersection.
146,More adjectives,Adjective,Lätt,Easy/light,Neuter: lätt • Plural: lätta,Provet var lätt.,The test was easy.
147,More adjectives,Adjective,Svår,Difficult,Neuter: svårt • Plural: svåra,Grammatiken är svår.,The grammar is difficult.
148,More adjectives,Adjective,Gammal,Old,Neuter: gammalt • Plural: gamla,Huset är väldigt gammalt.,The house is very old.
149,More adjectives,Adjective,Snabb,Fast,Neuter: snabbt • Plural: snabba,Tåget är snabbt.,The train is fast.
150,More adjectives,Adjective,Långsam,Slow,Neuter: långsamt • Plural: långsamma,Internet är långsamt idag.,The internet is slow today.
151,More adjectives,Adjective,Lång,Long/tall,Neuter: långt • Plural: långa,Han är lång och smal.,He is tall and slim.
152,More adjectives,Adjective,Kort,Short,Neuter: kort • Plural: korta,Mötet blev kort.,The meeting turned out short.
153,More adjectives,Adjective,Stark,Strong,Neuter: starkt • Plural: starka,Kaffet är för starkt.,The coffee is too strong.
154,More adjectives,Adjective,Svag,Weak,Neuter: svagt • Plural: svaga,Jag känner mig svag idag.,I feel weak today.
155,More adjectives,Adjective,Rolig,Fun,Neuter: roligt • Plural: roliga,Filmen var väldigt rolig.,The film was very funny.
156,More adjectives,Adjective,Tråkig,Boring,Neuter: tråkigt • Plural: tråkiga,Mötet var långt och tråkigt.,The meeting was long and boring.
157,More adjectives,Adjective,Vacker,Beautiful,Neuter: vackert • Plural: vackra,Utsikten är vacker.,The view is beautiful.
158,More adjectives,Adjective,Snäll,Kind,Neuter: snällt • Plural: snälla,Grannen är väldigt snäll.,The neighbour is very kind.
159,Nature and seasons,Noun (en),Dag,Day,Definite: dagen • Plural: dagar • Def. plural: dagarna,Vilken dag är det idag?,What day is it today?
160,Nature and seasons,Adjective,Mörk,Dark,Neuter: mörkt • Plural: mörka,Det blir mörkt tidigt på vintern.,It gets dark early in winter.
161,Nature and seasons,Noun (ett),Mörker,Darkness,Definite: mörkret (uncountable),Vi gick hem i mörkret.,We walked home in the dark.
162,Nature and seasons,Noun (en),Vinter,Winter,Definite: vintern • Plural: vintrar • Def. plural: vintrarna,Vintern i Sverige är lång.,Winter in Sweden is long.
163,Nature and seasons,Noun (en),Årstid,Season,Definite: årstiden • Plural: årstider • Def. plural: årstiderna,Hösten är min favoritårstid.,Autumn is my favourite season.
164,Feelings and emotions,Adjective,Trött,Tired,Neuter: trött • Plural: trötta,Jag är trött efter jobbet.,I'm tired after work.
165,Feelings and emotions,Adjective,Ledsen,Sad,Neuter: ledset • Plural: ledsna,Hon blev ledsen när hon hörde nyheten.,She got sad when she heard the news.
166,Feelings and emotions,Noun (en),Trötthet,Tiredness,Definite: tröttheten (uncountable),Tröttheten kom efter en lång vecka.,The tiredness came after a long week.
167,More verbs,Verb,Lider,Suffering/suffers,Infinitive: lida • Past: led • Supine: lidit,Han lider av huvudvärk.,He suffers from headaches.
168,More verbs,Verb,Blir,Becoming/becomes,Infinitive: bli • Past: blev • Supine: blivit,Det blir kallare i november.,It gets colder in November.
169,More verbs,Verb,Säger,Saying/says,Infinitive: säga • Past: sa • Supine: sagt,Vad säger du?,What are you saying?
170,More verbs,Verb,Förstår,Understanding/understands,Infinitive: förstå • Past: förstod • Supine: förstått,Jag förstår inte frågan.,I don't understand the question.
171,More verbs,Verb,Tar,Taking/takes,Infinitive: ta • Past: tog • Supine: tagit,Jag tar bussen till jobbet.,I take the bus to work.
172,More verbs,Verb,Försvinner,Disappearing/disappears,Infinitive: försvinna • Past: försvann • Supine: försvunnit,Solen försvinner bakom molnen.,The sun disappears behind the clouds.
173,More verbs,Verb,Frågar,Asking/asks,Infinitive: fråga • Past: frågade • Supine: frågat,Hon frågar alltid om vädret.,She always asks about the weather.
174,More verbs,Verb,Köper,Buying/buys,Infinitive: köpa • Past: köpte • Supine: köpt,Vi köper bröd på vägen hem.,We buy bread on the way home.
175,More verbs,Verb,Automatiserar,Automating/automates,Infinitive: automatisera • Past: automatiserade • Supine: automatiserat,Vi automatiserar testerna den här veckan.,We're automating the tests this week.
176,More verbs,Verb (modal),Ska,Shall/will (going to),Infinitive: skola • Past: skulle • Supine: skolat,Jag ska ringa dig imorgon.,I'm going to call you tomorrow.
177,Conjunctions and connectors,Conjunction,Och,And,—,Jag dricker kaffe och läser tidningen.,I drink coffee and read the newspaper.
178,Conjunctions and connectors,Conjunction,Men,But,—,"Jag ville komma, men jag var sjuk.","I wanted to come, but I was ill."
179,Conjunctions and connectors,Conjunction,Att,That / to (infinitive marker),—,Det är kul att lära sig svenska.,It's fun to learn Swedish.
180,Pronouns and articles,Pronoun,Det,It (neuter),Object form: det,Det står på bordet.,It's on the table.
181,Pronouns and articles,Pronoun,Den,It (common gender),Object form: den,Den är för dyr.,It's too expensive.
182,Pronouns and articles,Pronoun,Ingen,No one/none,Neuter: inget • Plural: inga,Ingen svarade i telefonen.,Nobody answered the phone.
183,Pronouns and articles,Pronoun,Själv,Self/myself,Plural: själva,Jag lagade maten själv.,I cooked the food myself.
184,Pronouns and articles,Article,En,A/an (common gender),Neuter: ett,Jag har en katt och en hund.,I have a cat and a dog.
185,More adjectives,Adjective,Förra,Last/previous,Invariable (used before noun),Förra veckan var jag i Malmö.,Last week I was in Malmö.
186,More adjectives,Adjective,Riktig,Real/proper,Neuter: riktigt • Plural: riktiga,Det var en riktig utmaning.,That was a real challenge.
187,More adjectives,Adjective,Väldefinierad,Well-defined,Neuter: väldefinierat • Plural: väldefinierade,Vi behöver en väldefinierad process.,We need a well-defined process.
188,Health and body,Noun (ett),Vitamin,Vitamin,Definite: vitaminet • Plural: vitaminer • Def. plural: vitaminerna,Apelsiner innehåller mycket C-vitamin.,Oranges contain a lot of vitamin C.
189,Home and objects,Noun (en),Glödlampa,Lightbulb,Definite: glödlampan • Plural: glödlampor • Def. plural: glödlamporna,Glödlampan i köket har gått sönder.,The lightbulb in the kitchen has broken.
190,Places and directions,Proper noun,Brasilien,Brazil,—,Jag kommer från Brasilien.,I'm from Brazil.
191,Adverbs and function words,Adverb,Mycket,Much/a lot,—,Tack så mycket!,Thank you very much!
192,Adverbs and function words,Adverb,Inte,Not,—,Jag förstår inte.,I don't understand.
193,Adverbs and function words,Adverb,Fortfarande,Still,—,Han bor fortfarande i Uppsala.,He still lives in Uppsala.
194,Adverbs and function words,Preposition,Av,Of/from/by,—,Det är en bok av Astrid Lindgren.,It's a book by Astrid Lindgren.
